address_5,title,address_9,address_17,address_19,address_23,address_24,pricing_1,address_3,address_7,address_18,address_21,url,address_22,address_8,address_20,contact_1,address_16,address_11,address_10,address_6,name_1,address_4,address_12,address_1,address_15,address_2,address_13,address_14
,Centrum Medyczne EPIONE - ZnanyLekarz.pl,,,,,,,,,,,https://www.znanylekarz.pl/placowki/centrum-medyczne-epione#address-id=265568&filters%5Bspecializations%5D%5B%5D=103,,,,"Kontakt
Adres 1
Adres 2
Adres 3
Adres 4
Adres 5
Adres 6
Adres 7
powiększ mapę
Przychodnia nr 1, Kijowska 71, Katowice, 40-755 Katowice
+483
... · Pokaż numer telefonu
NFZ, Allianz
Pokaż dane kontaktowe",,,,,,,,,,,,
,Lek. dent. Maria Borowy - Umów wizytę online | ZnanyLekarz.pl,,,,,,"Usługi i ceny
Ceny dotyczą wizyt prywatnych.

Popularne usługi

Konsultacja stomatologiczna

Cypriana Kamila Norwida 26B, Ruda Śląska

Od 120 zł

NZOZ Udente

Pozostałe usługi

Badania stomatologiczne

Cypriana Kamila Norwida 26B, Ruda Śląska

Od 120 zł

NZOZ Udente

Fluoryzacja zębów

Cypriana Kamila Norwida 26B, Ruda Śląska

Od 150 zł

NZOZ Udente

Konsultacja protetyczna

Cypriana Kamila Norwida 26B, Ruda Śląska

Od 150 zł

NZOZ Udente

Leczenie kanałowe

Cypriana Kamila Norwida 26B, Ruda Śląska

Od 600 zł

NZOZ Udente

Leczenie próchnicy

Cypriana Kamila Norwida 26B, Ruda Śląska

Od 200 zł

NZOZ Udente

Odbudowa zębów

Cypriana Kamila Norwida 26B, Ruda Śląska

Dowiedz się więcej

NZOZ Udente

Piaskowanie

Cypriana Kamila Norwida 26B, Ruda Śląska

Dowiedz się więcej

NZOZ Udente

Profilaktyka próchnicy

Cypriana Kamila Norwida 26B, Ruda Śląska

Dowiedz się więcej

NZOZ Udente

Stomatologia estetyczna

Cypriana Kamila Norwida 26B, Ruda Śląska

Dowiedz się więcej

NZOZ Udente

Stomatologia zachowawcza

Cypriana Kamila Norwida 26B, Ruda Śląska

Dowiedz się więcej

NZOZ Udente

Usuwanie kamienia nazębnego

Cypriana Kamila Norwida 26B, Ruda Śląska

Dowiedz się więcej

NZOZ Udente

Wypełnienie kompozytowe

Cypriana Kamila Norwida 26B, Ruda Śląska

Dowiedz się więcej

NZOZ Udente",,,,,https://www.znanylekarz.pl/maria-borowy/stomatolog/ruda-slaska#address-id=%5B1029567%5D&filters%5Bspecializations%5D%5B%5D=103,,,,,,,,,lek. dent. Maria Borowy,,,"Cypriana Kamila Norwida 26B, Ruda Śląska",,,,
,DentalCare & BeautyCare - KLINIKA PIĘKNEGO UŚMIECHU I PIĘKNEJ TWARZY - ZnanyLekarz.pl,,,,,,,,,,,https://www.znanylekarz.pl/placowki/dentalcare-beautycare-klinika-pieknego-usmiechu-i-pieknej-twarzy#address-id=274224&filters%5Bspecializations%5D%5B%5D=103,,,,"Kontakt
Adres 1
powiększ mapę
Barona 30, 43-100 Tychy
4832
... · Pokaż numer telefonu
4879
... · Pokaż numer telefonu
Signal Iduna, Allianz, POLMED
Pokaż dane kontaktowe",,,,,,,,,,,,
,Dr Joanna Wegiera - Umów wizytę online | ZnanyLekarz.pl,,,,,,"Usługi i ceny
Ceny dotyczą wizyt prywatnych.

Popularne usługi

Konsultacja stomatologiczna

Dolnych Wałów 8, Gliwice

Od 150 zł

GlivDental

Konsultacja stomatologiczna dzieci

Dolnych Wałów 8, Gliwice

Dowiedz się więcej

GlivDental

Pozostałe usługi

Badania stomatologiczne

Dolnych Wałów 8, Gliwice

Dowiedz się więcej

GlivDental

Konsultacja endodontyczna

Dolnych Wałów 8, Gliwice

Od 150 zł

GlivDental

Konsultacja protetyczna

Dolnych Wałów 8, Gliwice

Od 200 zł

GlivDental

Korona pełnoceramiczna

Dolnych Wałów 8, Gliwice

Od 2 200 zł

GlivDental

Korona porcelanowa na metalu

Dolnych Wałów 8, Gliwice

Od 1 500 zł

GlivDental

Most adhezyjny

Dolnych Wałów 8, Gliwice

Od 800 zł

GlivDental

Protezy akrylowe

Dolnych Wałów 8, Gliwice

Od 1 500 zł

GlivDental

Protezy szkieletowe

Dolnych Wałów 8, Gliwice

Od 2 800 zł

GlivDental

Stomatologia zachowawcza

Dolnych Wałów 8, Gliwice

Od 150 zł

GlivDental

Wypełnienie kompozytowe

Dolnych Wałów 8, Gliwice

Dowiedz się więcej

GlivDental",,,,,https://www.znanylekarz.pl/joanna-wegiera-2/stomatolog-stomatolog-dzieciecy/gliwice#address-id=%5B1009667%5D&filters%5Bspecializations%5D%5B%5D=103,,,,,,,,,dr Joanna Wegiera,,,"Dolnych Wałów 8, Gliwice",,,,
,Severux Centrum Medyczne - ZnanyLekarz.pl,,,,,,,,,,,https://www.znanylekarz.pl/placowki/severux-centrum-medyczne#address-id=283029&filters%5Bspecializations%5D%5B%5D=103,,,,"Kontakt
Adres 1
Adres 2
powiększ mapę
ul. Katowicka 157, 41-500 Chorzów
+485
... · Pokaż numer telefonu
Pokaż dane kontaktowe",,,,,,,,,,,,
,Lek. dent. Grażyna Opiłka - Umów wizytę online | ZnanyLekarz.pl,,,,,,"Usługi i ceny
Ceny dotyczą wizyt prywatnych.

Popularne usługi

Konsultacja stomatologiczna

Zabrska 1/4, Katowice

Od 150 zł

Ceramdent Stomatologia Estetyczna

Higienizacja

Zabrska 1/4, Katowice

Od 400 zł

Ceramdent Stomatologia Estetyczna

Przegląd stomatologiczny + plan leczenia

Zabrska 1/4, Katowice

1 zł

Ceramdent Stomatologia Estetyczna

Pozostałe usługi

Ekstrakcja zatrzymanych ósemek

Zabrska 1/4, Katowice

Od 550 zł

Ceramdent Stomatologia Estetyczna

Konsultacja endodontyczna

Zabrska 1/4, Katowice

Od 150 zł

Ceramdent Stomatologia Estetyczna

Konsultacja implantologiczna

Zabrska 1/4, Katowice

Od 1 zł

Ceramdent Stomatologia Estetyczna

Leczenie kanałowe pod mikroskopem

Zabrska 1/4, Katowice

Od 1 500 zł

Ceramdent Stomatologia Estetyczna

Konsultacja do leczenia endodontycznego poprzedzająca zabieg trwający 1-2h

Protezy akrylowe

Zabrska 1/4, Katowice

Od 1 600 zł

Ceramdent Stomatologia Estetyczna

Protezy szkieletowe

Zabrska 1/4, Katowice

2 500 zł

Ceramdent Stomatologia Estetyczna

Wybielanie zębów lampą

Zabrska 1/4, Katowice

Od 1 500 zł

Ceramdent Stomatologia Estetyczna

Wybielanie Zoom2 Advanced Power

Wypełnienie kompozytowe

Zabrska 1/4, Katowice

Od 300 zł

Ceramdent Stomatologia Estetyczna

Znieczulenie komputerowe

Zabrska 1/4, Katowice

Od 150 zł

Ceramdent Stomatologia Estetyczna",,,,,https://www.znanylekarz.pl/grazyna-opilka/stomatolog-protetyk-lekarz-medycyny-estetycznej/katowice#address-id=%5B243550%5D&filters%5Bspecializations%5D%5B%5D=103,,,,,,,,,lek. dent. Grażyna Opiłka,,,"Zabrska 1/4, Katowice",,,,
,Medicover Stomatologia Graniczna - ZnanyLekarz.pl,,,,,,,,,,,https://www.znanylekarz.pl/placowki/medicover-stomatologia-graniczna#address-id=277691&filters%5Bspecializations%5D%5B%5D=103,,,,"Kontakt
Adres 1
powiększ mapę
Graniczna 54, 40-018 Katowice
+486
... · Pokaż numer telefonu
Pokaż dane kontaktowe",,,,,,,,,,,,
,BM Quality Med - ZnanyLekarz.pl,,,,,,,,,,,https://www.znanylekarz.pl/placowki/bm-quality-med#address-id=269718&filters%5Bspecializations%5D%5B%5D=103,,,,"Kontakt
Adres 1
powiększ mapę
Kozielska 141 D, 44-121 Gliwice
4832
... · Pokaż numer telefonu
4879
... · Pokaż numer telefonu
Pokaż dane kontaktowe",,,,,,,,,,,,
,Lek. dent. Julia Dytko-Napieraj - Umów wizytę online | ZnanyLekarz.pl,,,,,,"Usługi i ceny
Ceny dotyczą wizyt prywatnych.

Konsultacja stomatologiczna

Generała Zygmunta Waltera-Jankego 275, Katowice

150 zł

iDentysta Clinic",,,,,https://www.znanylekarz.pl/julia-dytko-napieraj/stomatolog/katowice#address-id=%5B1017794%5D&filters%5Bspecializations%5D%5B%5D=103,,,,,,,,,lek. dent. Julia Dytko-Napieraj,,,"Generała Zygmunta Waltera-Jankego 275, Katowice",,,,
,Lek. dent. Agnieszka Rabenda-Kowalik - Umów wizytę online | ZnanyLekarz.pl,,,,,,"Usługi i ceny
Ceny dotyczą wizyt prywatnych.

Popularne usługi

Konsultacja stomatologiczna (pierwsza wizyta)

Lipnicka 141, Bielsko-Biała

200 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Lipnicka 141, Bielsko-Biała

200 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Pozostałe usługi

Badania diagnostyczne

Lipnicka 141, Bielsko-Biała

150 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Badania stomatologiczne

Lipnicka 141, Bielsko-Biała

150 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Ekstrakcja zatrzymanych ósemek

Lipnicka 141, Bielsko-Biała

Od 400 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Lipnicka 141, Bielsko-Biała

Od 400 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Ekstrakcja zęba

Lipnicka 141, Bielsko-Biała

Od 300 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Lipnicka 141, Bielsko-Biała

Od 300 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Ekstrakcja zęba mlecznego

Lipnicka 141, Bielsko-Biała

Od 150 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Lipnicka 141, Bielsko-Biała

180 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Konsultacja - staw skroniowo-żuchwowy

Lipnicka 141, Bielsko-Biała

200 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Leczenie chorób błony śluzowej jamy ustnej

Lipnicka 141, Bielsko-Biała

Od 200 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Leczenie chorób stawu skroniowo-żuchwowego

Lipnicka 141, Bielsko-Biała

Od 200 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Leczenie kanałowe pod mikroskopem

Lipnicka 141, Bielsko-Biała

Od 600 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Lipnicka 141, Bielsko-Biała

Od 600 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Powtórne leczenie kanałowe pod mikroskopem

Lipnicka 141, Bielsko-Biała

Od 800 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Wybielanie zębów lampą

Lipnicka 141, Bielsko-Biała

Od 450 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Wypełnienie kompozytowe

Lipnicka 141, Bielsko-Biała

Od 290 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Lipnicka 141, Bielsko-Biała

Od 330 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Wypełnienie kompozytowe u dzieci

Lipnicka 141, Bielsko-Biała

250 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.

Wypełnienie w zębie mlecznym

Lipnicka 141, Bielsko-Biała

200 zł

Stomatologia Lipnik

Pacjenci , którzy nie odwołali wizyty do 12 h przed godziną spotkania i nie pojawili się na wizycie będą zobowiązani do uiszczenia opłaty w wysokości 150zł (w razie chęci ponownej rejestracji )

Znieczulenie komputerowe

Lipnicka 141, Bielsko-Biała

70 zł

Stomatologia Lipnik

W przypadku niestawienia się na wizytę lub odwołania jej później niż 12 godzin przed terminem pobierana jest opłata w wysokości 150zł.",,,,,https://www.znanylekarz.pl/agnieszka-rabenda-kowalik/stomatolog/bielsko-biala#address-id=%5B1000828%5D&filters%5Bspecializations%5D%5B%5D=103,,,,,,,,,lek. dent. Agnieszka Rabenda-Kowalik,,,"Lipnicka 141, Bielsko-Biała",,,,
